batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,completed_stations,station_id,discovered_channels,cleared_channels,virtual_time_s,discovered_fraction
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,28,6,11,11,9998.830335,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,29,12,11,11,10249.830335,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,30,23,11,11,10645.776395,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,31,28,11,11,10896.776395,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,0,,0,0,0.0,0.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,1,0,0,0,119.0,0.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,2,5,2,0,428.0,0.18181818181818182
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,3,4,3,0,645.351237,0.2727272727272727
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,4,3,5,0,850.702474,0.45454545454545453
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,5,2,6,0,1056.053711,0.5454545454545454
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,6,1,6,0,1255.404948,0.5454545454545454
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,7,12,6,0,1448.756185,0.5454545454545454
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,8,11,7,0,1637.107422,0.6363636363636364
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,9,10,8,0,1819.458659,0.7272727272727273
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,10,9,9,0,2006.809896,0.8181818181818182
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,11,8,10,0,2188.161133,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,12,7,11,0,2375.51237,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,13,6,11,0,2544.863607,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,14,18,11,1,2913.406068,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,15,19,11,1,3184.002714,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,16,20,11,4,3507.194672,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,17,21,11,4,3760.791318,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,18,22,11,5,4026.637274,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,19,23,11,5,4285.23392,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,20,24,11,5,4549.830566,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,21,13,11,6,4842.430465,1.0
