batch,arm,source_stratum,station_index,n_independent_layouts,n_observed_scan_endpoints,n_carried_forward,count_q1,count_median,count_q3,fraction_q1,fraction_median,fraction_q3
round9_main,baseline31,n_sources_15,31,13,13,0,15.0,15.0,15.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_16,0,12,12,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,n_sources_16,1,12,12,0,0.0,0.0,4.75,0.0,0.0,0.296875
round9_main,baseline31,n_sources_16,2,12,12,0,2.0,4.5,7.25,0.125,0.28125,0.453125
round9_main,baseline31,n_sources_16,3,12,12,0,3.0,6.5,9.25,0.1875,0.40625,0.578125
round9_main,baseline31,n_sources_16,4,12,12,0,3.0,6.5,11.0,0.1875,0.40625,0.6875
round9_main,baseline31,n_sources_16,5,12,12,0,3.0,7.0,11.0,0.1875,0.4375,0.6875
round9_main,baseline31,n_sources_16,6,12,12,0,3.75,8.5,11.0,0.234375,0.53125,0.6875
round9_main,baseline31,n_sources_16,7,12,12,0,4.0,9.5,12.0,0.25,0.59375,0.75
round9_main,baseline31,n_sources_16,8,12,12,0,5.5,10.5,12.25,0.34375,0.65625,0.765625
round9_main,baseline31,n_sources_16,9,12,12,0,7.5,11.0,12.25,0.46875,0.6875,0.765625
round9_main,baseline31,n_sources_16,10,12,12,0,9.25,11.0,13.25,0.578125,0.6875,0.828125
round9_main,baseline31,n_sources_16,11,12,12,0,9.25,11.0,14.0,0.578125,0.6875,0.875
round9_main,baseline31,n_sources_16,12,12,12,0,9.75,12.0,14.25,0.609375,0.75,0.890625
round9_main,baseline31,n_sources_16,13,12,11,1,9.75,13.0,14.25,0.609375,0.8125,0.890625
round9_main,baseline31,n_sources_16,14,12,11,1,9.75,13.0,14.25,0.609375,0.8125,0.890625
round9_main,baseline31,n_sources_16,15,12,11,1,10.0,13.0,14.25,0.625,0.8125,0.890625
round9_main,baseline31,n_sources_16,16,12,10,2,13.0,14.0,14.25,0.8125,0.875,0.890625
round9_main,baseline31,n_sources_16,17,12,10,2,13.75,14.0,15.0,0.859375,0.875,0.9375
round9_main,baseline31,n_sources_16,18,12,10,2,13.75,14.5,15.0,0.859375,0.90625,0.9375
round9_main,baseline31,n_sources_16,19,12,10,2,13.75,15.0,16.0,0.859375,0.9375,1.0
round9_main,baseline31,n_sources_16,20,12,7,5,13.75,15.5,16.0,0.859375,0.96875,1.0
