rounding,case_id,baseline,candidate,change_s,change_pct,baseline_success,candidate_success,movement_s_difference,switch_s_difference,detection_s_difference,optical_s_difference,laser_s_difference
pre_round_stress,final_uniform_910054_negative,3951.085775,3526.821842,-424.2639330000002,-10.737907430015238,True,True,-511.2639346438041,12.0,105.0,-30.0,0.0
pre_round_stress,final_outer_910055_spatial_hash,3926.84633,3475.678451,-451.16787899999963,-11.489318427186824,True,True,-495.1678752468779,8.0,75.0,-39.0,0.0
pre_round_stress,final_outer_910055_smooth,3602.573666,3557.918766,-44.6549,-1.2395277415543027,True,True,-91.65490052108316,9.0,80.0,-42.0,0.0
pre_round_stress,final_outer_910055_positive,3487.073285,3489.674702,2.6014169999998558,0.07460173008666526,True,True,-56.39858390169593,8.0,60.0,-9.0,0.0
pre_round_stress,final_outer_910055_negative,3736.295644,3440.366514,-295.92913,-7.920388486259733,True,True,-299.92913109233723,6.0,55.0,-57.0,0.0
pre_round_stress,final_cluster_910056_spatial_hash,2059.556082,2234.506981,174.95089899999994,8.494592622605746,True,True,88.9508994938833,14.0,75.0,-3.0,0.0
pre_round_stress,final_cluster_910056_smooth,2114.255447,2274.576734,160.3212870000002,7.58287212775004,True,True,77.32128731141165,14.0,75.0,-6.0,0.0
pre_round_stress,final_cluster_910056_positive,2059.540057,2266.360007,206.81995000000006,10.042045518709708,True,True,111.81994940493246,15.0,80.0,0.0,0.0
pre_round_stress,final_cluster_910056_negative,2304.901523,2300.578499,-4.323023999999805,-0.18755786123014762,True,True,-94.32302489472022,16.0,80.0,-6.0,0.0
pre_round_stress,final_min_radius_910057_spatial_hash,4318.774802,3697.858443,-620.9163589999998,-14.377141376124936,True,True,-621.9163608147983,-2.0,15.0,-12.0,0.0
pre_round_stress,final_min_radius_910057_smooth,4484.448469,3718.807853,-765.6406160000001,-17.07323924653621,True,True,-765.6406173878868,-2.0,20.0,-18.0,0.0
pre_round_stress,final_min_radius_910057_positive,4326.44008,3757.80827,-568.6318100000003,-13.143180062255722,True,True,-572.6318068485243,-2.0,15.0,-9.0,0.0
pre_round_stress,final_min_radius_910057_negative,4003.598263,3747.147251,-256.451012,-6.405513119786265,True,True,-312.4510075189319,7.0,70.0,-21.0,0.0
pre_round_stress,final_radial_910058_spatial_hash,1195.888953,1849.578274,653.6893210000001,54.66137297783034,True,True,476.6893207811586,32.0,160.0,-15.0,0.0
pre_round_stress,final_radial_910058_smooth,1223.680289,1910.830956,687.1506670000001,56.154428013345246,True,True,508.15066663596247,32.0,165.0,-18.0,0.0
pre_round_stress,final_radial_910058_positive,1388.662291,1915.079574,526.417283,37.90822912177716,True,True,370.4172815661991,28.0,140.0,-12.0,0.0
pre_round_stress,final_radial_910058_negative,1350.412629,1873.643494,523.230865,38.74599909417762,True,True,403.2308627646204,32.0,160.0,-72.0,0.0
pre_round_stress,final_reception_edge_910059_spatial_hash,4585.396853,3927.569346,-657.827507,-14.346141197563211,True,True,-652.8275059802318,-4.0,50.0,-51.0,0.0
pre_round_stress,final_reception_edge_910059_smooth,4831.447549,3903.361217,-928.0863320000003,-19.209280916070238,True,True,-980.0863300316009,1.0,75.0,-24.0,0.0
