case_id,seed,family,source_count,error_mode,rounding,variant,current_s,candidate_s,change_s,change_pct,current_success,candidate_success
dispatch_development_reception_edge_2026091338_smooth,2026091338,reception_edge,13,smooth,bounded,COVERAGE_ORDER,3977.289486,3977.289486,0.0,0.0,True,True
dispatch_development_reception_edge_2026091338_spatial_hash,2026091338,reception_edge,13,spatial_hash,bounded,COVERAGE_ORDER,3930.673356,3930.673356,0.0,0.0,True,True
dispatch_development_reception_edge_2026091339_negative,2026091339,reception_edge,14,negative,bounded,COVERAGE_ORDER,3772.223662,3772.223662,0.0,0.0,True,True
dispatch_development_reception_edge_2026091339_positive,2026091339,reception_edge,14,positive,bounded,COVERAGE_ORDER,3912.568597,3912.568597,0.0,0.0,True,True
dispatch_development_reception_edge_2026091339_smooth,2026091339,reception_edge,14,smooth,bounded,COVERAGE_ORDER,3889.557319,3889.557319,0.0,0.0,True,True
dispatch_development_reception_edge_2026091339_spatial_hash,2026091339,reception_edge,14,spatial_hash,bounded,COVERAGE_ORDER,3923.446386,3923.446386,0.0,0.0,True,True
dispatch_development_reception_edge_2026091340_negative,2026091340,reception_edge,15,negative,bounded,COVERAGE_ORDER,4207.406019,4207.406019,0.0,0.0,True,True
dispatch_development_reception_edge_2026091340_positive,2026091340,reception_edge,15,positive,bounded,COVERAGE_ORDER,4204.956573,4204.956573,0.0,0.0,True,True
dispatch_development_reception_edge_2026091340_smooth,2026091340,reception_edge,15,smooth,bounded,COVERAGE_ORDER,4211.04073,4211.04073,0.0,0.0,True,True
dispatch_development_reception_edge_2026091340_spatial_hash,2026091340,reception_edge,15,spatial_hash,bounded,COVERAGE_ORDER,4202.863157,4202.863157,0.0,0.0,True,True
dispatch_development_reception_edge_2026091341_negative,2026091341,reception_edge,16,negative,bounded,COVERAGE_ORDER,4069.975775,4069.975775,0.0,0.0,True,True
dispatch_development_reception_edge_2026091341_positive,2026091341,reception_edge,16,positive,bounded,COVERAGE_ORDER,3938.445409,3938.445409,0.0,0.0,True,True
dispatch_development_reception_edge_2026091341_smooth,2026091341,reception_edge,16,smooth,bounded,COVERAGE_ORDER,4027.782147,4027.782147,0.0,0.0,True,True
dispatch_development_reception_edge_2026091341_spatial_hash,2026091341,reception_edge,16,spatial_hash,bounded,COVERAGE_ORDER,4010.982083,4010.982083,0.0,0.0,True,True
dispatch_development_uniform_2026091300_negative,2026091300,uniform,10,negative,bounded,COVERAGE_ORDER,3155.858457,3155.858457,0.0,0.0,True,True
dispatch_development_uniform_2026091300_positive,2026091300,uniform,10,positive,bounded,COVERAGE_ORDER,3170.951423,3170.951423,0.0,0.0,True,True
